gene	log2FC	padj	typeReg	Condition
PFDSM3638_RS07225	0.09823795563664235	0.6972191439038858	not significant	CS1
PFDSM3638_RS07230	0.22076689240446412	0.13145008899321584	not significant	CS1
PFDSM3638_RS07235	1.014618617671958	2.2840011674886456e-4	up	CS1
PFDSM3638_RS07240	0.24429470782800988	0.13616937217735123	not significant	CS1
PFDSM3638_RS07245	0.4304235118436079	6.131544674082479e-4	up	CS1
PFDSM3638_RS07250	0.3954055380997991	0.007191704344709453	up	CS1
PFDSM3638_RS07255	0.6867239466045751	8.778055266116218e-7	up	CS1
PFDSM3638_RS07260	0.6995462367753376	7.727294076679493e-7	up	CS1
PFDSM3638_RS07265	1.0503370046064628	3.5237192125060464e-4	up	CS1
PFDSM3638_RS07270	0.8156006545171106	3.644314407120504e-5	up	CS1
PFDSM3638_RS07275	0.8138619130919896	3.557119939276585e-5	up	CS1
PFDSM3638_RS07280	0.8402243608586866	1.8090273722306966e-4	up	CS1
PFDSM3638_RS07285	0.6869409729097835	4.330439462590898e-4	up	CS1
PFDSM3638_RS07290	1.1356528067935374	3.9931685017427997e-4	up	CS1
PFDSM3638_RS07295	0.9993913628066295	7.899425955017813e-5	up	CS1
PFDSM3638_RS07300	1.2495310293402373	1.181742366666371e-4	up	CS1
PFDSM3638_RS07305	1.4937996024601696	6.450239567050667e-9	up	CS1
PFDSM3638_RS07310	-0.6878217112047326	0.0029707370351419993	down	CS1
PFDSM3638_RS07315	-0.8274890468075753	8.278695647545342e-5	down	CS1
PFDSM3638_RS07320	-0.6371399858224267	0.013222669120712401	down	CS1
PFDSM3638_RS07325	-0.7103055496863689	0.0031658683129248857	down	CS1
PFDSM3638_RS07330	0.38608571825094734	1.5992720384210913e-4	up	CS1
PFDSM3638_RS07335	0.5954761540834357	2.3665914432574803e-10	up	CS1
PFDSM3638_RS07340	-1.98353376294197	6.37068995311663e-22	down	CS1
PFDSM3638_RS07345	0.11891072531400605	0.39289023431358294	not significant	CS1
PFDSM3638_RS07350	-0.11124290783760904	0.6441915735030305	not significant	CS1
PFDSM3638_RS07355	-0.19886203460476723	0.3500156775111083	not significant	CS1
PFDSM3638_RS07360	-1.3557500955741053	1.7786666634997552e-4	down	CS1
PFDSM3638_RS07365	-1.1857843557194494	2.130462864049024e-4	down	CS1
PFDSM3638_RS07370	-0.38222076613938644	0.1572121371378209	not significant	CS1
PFDSM3638_RS07375	-0.42503498141791485	0.16867440663263833	not significant	CS1
PFDSM3638_RS07380	-0.8117747217937491	0.008183214573578722	down	CS1
PFDSM3638_RS07400	0.031813198678142376	0.8931908477414634	not significant	CS1
PFDSM3638_RS07405	0.7584375475189079	3.9283208146768266e-8	up	CS1
PFDSM3638_RS07410	-0.33360074761864417	0.15860779954093585	not significant	CS1
PFDSM3638_RS07415	1.0561084537516745	1.0770176441860513e-4	up	CS1
PFDSM3638_RS07420	-0.6749800625752945	0.07870320356553479	not significant	CS1
PFDSM3638_RS07425	0.6063070889277092	0.0038903242830209427	up	CS1
PFDSM3638_RS07430	-0.10055481828985371	0.6091386620418513	not significant	CS1
PFDSM3638_RS07435	0.4641545737944225	3.0528593201109273e-4	up	CS1
PFDSM3638_RS07440	-0.009174438380857748	0.9774720441007914	not significant	CS1
PFDSM3638_RS07445	0.16002944115189638	0.2958597229225047	not significant	CS1
PFDSM3638_RS07450	-0.5107091615745942	0.010896531888618251	down	CS1
PFDSM3638_RS07455	-0.09755195969896964	0.5587133668326888	not significant	CS1
PFDSM3638_RS07460	-0.5817878270704248	2.6691787065369604e-4	down	CS1
PFDSM3638_RS07470	1.283639579553673	4.508170997724781e-9	up	CS1
PFDSM3638_RS07480	-0.08956137676587922	0.7476845275079739	not significant	CS1
PFDSM3638_RS07490	0.39157220956786115	0.01991759901019259	up	CS1
PFDSM3638_RS07495	-0.2217438637872329	0.2927584177774916	not significant	CS1
PFDSM3638_RS07500	-0.8792491399318925	1.9876760670916544e-10	down	CS1
PFDSM3638_RS07505	1.1189286693370473	7.67224918184575e-21	up	CS1
PFDSM3638_RS07510	0.5796086993659779	2.3537648281319633e-5	up	CS1
PFDSM3638_RS07515	-0.3243567953162879	0.019085809726376676	down	CS1
PFDSM3638_RS07520	0.3354453445851332	0.0747927753590019	not significant	CS1
PFDSM3638_RS07525	0.16043304441809772	0.3701304954567179	not significant	CS1
PFDSM3638_RS07530	-0.24399016187165629	0.3976554361192947	not significant	CS1
PFDSM3638_RS07535	0.3971992910622293	0.030999419505534975	up	CS1
PFDSM3638_RS07540	-0.246316529045434	0.08812134178791028	not significant	CS1
PFDSM3638_RS07545	-0.8350114617853465	5.207535701997377e-7	down	CS1
PFDSM3638_RS07550	-0.12420588303200528	0.5355545061430989	not significant	CS1
PFDSM3638_RS07570	0.1058620367830837	0.6273625067632549	not significant	CS1
PFDSM3638_RS07575	-0.21583503826107264	0.3614607472982541	not significant	CS1
PFDSM3638_RS07580	0.7631623023564477	3.329127025918266e-6	up	CS1
PFDSM3638_RS07585	0.016164110146429572	0.9421386761605676	not significant	CS1
PFDSM3638_RS07590	0.2701196287563191	0.07348336574748716	not significant	CS1
PFDSM3638_RS07595	-0.21894502088001563	0.39289023431358294	not significant	CS1
PFDSM3638_RS07600	0.1251430846459155	0.4067253027538487	not significant	CS1
PFDSM3638_RS07605	0.19738649911385783	0.09324762800803604	not significant	CS1
PFDSM3638_RS07610	0.34743215998519655	0.011308367003475225	up	CS1
PFDSM3638_RS07615	0.09826451908048925	0.4793013332272628	not significant	CS1
PFDSM3638_RS07620	-0.004080205663045242	0.9843708280851458	not significant	CS1
PFDSM3638_RS07625	0.018971099323744682	0.9193469085804513	not significant	CS1
PFDSM3638_RS07630	-0.0990370762631837	0.6508055182246973	not significant	CS1
PFDSM3638_RS07635	-0.27869628924269174	0.06390175428289702	not significant	CS1
PFDSM3638_RS07640	-1.7833834441440843	3.840539562488286e-6	down	CS1
